Exercise_Name,Description_URL,Exercise_Image,Exercise_Image1,muscle_gp_details,muscle_gp,equipment_details,Equipment,Rating,Description
Standing dumbbell shoulder press,"Stand with feet shoulder-width apart and a dumbbell in each hand, palms facing forward.
Raise the dumbbells to shoulder height, elbows bent.
Press the dumbbells overhead until your arms are fully extended.
Lower the dumbbells back down to shoulder height with control.
Repeat for the desired number of repetitions.",https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-104d-standing-dumbbell-shoulder-press-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-104d-standing-dumbbell-shoulder-press-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9.1,Average
EZ-Bar Curl,"Stand with feet shoulder-width apart and grip an EZ-bar with an underhand grip, hands shoulder-width apart.
Keep your elbows close to your sides and curl the bar upwards towards your shoulders.
Squeeze your biceps at the top of the movement, then lower the bar back down with control.
Repeat for the desired number of repetitions.",https://www.bodybuilding.com/images/2020/xdb/cropped/2020-xdb-46s-standing-ez-bar-curl-m1-crop-600x600.jpg,,https://www.bodybuilding.com/exercises/muscle/biceps,Biceps,https://www.bodybuilding.com/exercises/equipment/ez-curl-bar,E-Z Curl Bar,9.1,Average
Olympic Squat,"Stand with your feet shoulder-width apart and a barbell resting on your upper back.
Engage your core, squat down by bending your knees and hips, keeping your back straight.
Lower yourself until your thighs are parallel to the ground.
Push through your heels to return to the starting position.",,,https://www.bodybuilding.com/exercises/muscle/quadriceps,Quadriceps,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.1,Average
Natural Glute Ham Raise,"Kneel on a mat with your ankles secured under a sturdy support.
Keeping your back straight, slowly lower your torso towards the ground, hinging at your hips.
Use your hamstrings and glutes to pull yourself back up to the starting position.",,,https://www.bodybuilding.com/exercises/muscle/hamstrings,Hamstrings,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,9.1,Average
Axle Deadlift,"Stand with your feet hip-width apart, with an axle or thick barbell on the ground in front of you.
Bend at your knees and hips to grip the axle with an overhand grip, hands just outside your legs.
Keeping your back straight, push through your heels and lift the axle until you are standing upright.
Lower the axle back to the ground with control.",,,https://www.bodybuilding.com/exercises/muscle/lower-back,Lower Back,https://www.bodybuilding.com/exercises/equipment/other,Other,9.1,Average
Zottman Curl,"Stand with a dumbbell in each hand, palms facing up.
Curl the dumbbells towards your shoulders, then rotate your wrists so that your palms are facing down at the top of the movement.
Slowly lower the dumbbells back to the starting position with your palms facing down.
Rotate your wrists again at the bottom of the movement to return to the starting position.",,,https://www.bodybuilding.com/exercises/muscle/biceps,Biceps,https://www.bodybuilding.com/exercises/finder,,9.1,Average
Glute ham raise-,"Kneel on a glute-ham raise machine with your feet secured under the pads.
Lower your torso forward, hinging at your hips, until your body is almost parallel to the ground.
Engage your hamstrings and glutes to raise your torso back to the starting position.",,,https://www.bodybuilding.com/exercises/muscle/hamstrings,Hamstrings,https://www.bodybuilding.com/exercises/equipment/none,None,9.1,Average
Single-arm lateral raise,"Stand with a dumbbell in one hand, palm facing your body.
Keeping your arm slightly bent, raise the dumbbell out to the side until it reaches shoulder height.
Lower the dumbbell back to the starting position with control.",,,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9.1,Average
Power Partials,"Stand with a barbell or dumbbells held at arm's length in front of your thighs.
Lift the weight to just below your knees, then lower it back down.
Repeat the movement for the desired number of repetitions, focusing on explosive power.",,,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9.1,Average
Leverage Shrug,"Stand with your feet hip-width apart and hold a barbell or dumbbells in front of your thighs.
Shrug your shoulders upward, lifting the weight as high as possible.
Lower the weight back down with control.",https://www.bodybuilding.com/exercises/exerciseImages/sequences/898/Male/m/898_1.jpg,https://www.bodybuilding.com/images/2020/xdb/898_2.jpg,https://www.bodybuilding.com/exercises/muscle/traps,Traps,https://www.bodybuilding.com/exercises/equipment/machine,Machine,9.1,Average
Cable V-bar push-down,"Attach a V-bar to a high pulley cable machine and grasp the handles with an overhand grip.
Keep your elbows close to your sides and push the bar down towards your thighs until your arms are fully extended.
Slowly return to the starting position by allowing the bar to rise up under control.",https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-17c-cable-v-bar-push-down-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-17c-cable-v-bar-push-down-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/triceps,Triceps,https://www.bodybuilding.com/exercises/equipment/cable,Cable,9.1,Average
Wrist Roller,"Hold a wrist roller with both hands, palms facing down, and arms extended in front of you.
Roll the weight up by winding the rope around the roller using only your wrists.
Once the weight reaches the top, slowly lower it back down by unwinding the rope.
Repeat for the desired number of repetitions.



",https://www.bodybuilding.com/exercises/exerciseImages/sequences/142/Male/m/142_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/142/Male/m/142_2.jpg,https://www.bodybuilding.com/exercises/muscle/forearms,Forearms,https://www.bodybuilding.com/exercises/equipment/other,Other,9.1,Average
Incline dumbbell reverse fly,"Sit on an incline bench set at a low angle.
Hold a dumbbell in each hand with your palms facing each other, arms extended downwards.
Keeping a slight bend in your elbows, raise your arms to the sides until they are parallel to the ground.
Squeeze your shoulder blades together at the top of the movement.
Slowly lower the weights back to the starting position and repeat.",https://www.bodybuilding.com/images/2020/xdb/cropped/2020-xdb-13n-incline-dumbbell-reverse-fly-m1-crop-600x600.jpg,,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9.1,Average
Stair climber,"Step onto the stair climber machine and select your desired resistance level.
Begin stepping up and down on the pedals in a controlled manner.
Keep your back straight and engage your core throughout the exercise.
Continue for your desired duration or until you reach your target heart rate.",,,https://www.bodybuilding.com/exercises/muscle/quadriceps,Quadriceps,https://www.bodybuilding.com/exercises/equipment/machine,Machine,9.1,Average
Elbow-to-knee crunch,"Lie on your back with your knees bent and feet flat on the floor.
Place your hands behind your head or extend them straight above your chest.
Lift your shoulders off the ground and bring your right elbow towards your left knee while simultaneously straightening your right leg.
Return to the starting position and repeat on the opposite side, bringing your left elbow towards your right knee.
Continue alternating sides for the desired number of repetitions.",https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-176a-elbow-to-knee-crunch-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-176a-elbow-to-knee-crunch-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,9.1,Average
Kettlebell Pistol Squat,"Hold a kettlebell by the handle with both hands, close to your chest.
Stand on one leg with your other leg extended in front of you.
Squat down on the standing leg while keeping your chest up and back straight, lowering yourself as far as you can control.
Push through your heel to return to the starting position.
Repeat for the desired number of reps, then switch legs.",https://www.bodybuilding.com/exercises/exerciseImages/sequences/521/Male/m/521_2.jpg,,https://www.bodybuilding.com/exercises/muscle/quadriceps,Quadriceps,https://www.bodybuilding.com/exercises/equipment/kettlebells,Kettlebells,9.1,Average
Overhead dumbbell front raise,"Stand with your feet shoulder-width apart, holding a dumbbell in each hand with palms facing your thighs.
Keeping a slight bend in your elbows, raise both dumbbells in front of you until they are parallel to the ground.
Slowly lower the dumbbells back to the starting position.
Repeat for the desired number of repetitions, maintaining control throughout the movement.",https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-17d-overhead-dumbbell-front-raise-m1-square-600x600.jpg,,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9.1,Average
Biceps curl to shoulder press,"Stand with your feet hip-width apart, holding a dumbbell in each hand with your palms facing forward.
Perform a standard biceps curl by bending your elbows and bringing the dumbbells towards your shoulders.
Once at shoulder height, rotate your palms to face forward and press the dumbbells overhead until your arms are fully extended.
Lower the dumbbells back to shoulder height, then reverse the motion to return to the starting position.
Repeat for the desired number of repetitions.",,,https://www.bodybuilding.com/exercises/muscle/biceps,Biceps,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9.1,Average
Weighted bench dip,"Sit on the edge of a bench with your hands placed beside your hips, fingers gripping the edge.
Extend your legs out in front of you and walk your feet forward until your hips are off the bench.
Lower your body by bending your elbows until your upper arms are parallel to the ground.
Push through your palms to straighten your arms and return to the starting position.
Repeat for the desired number of repetitions.",,,https://www.bodybuilding.com/exercises/muscle/triceps,Triceps,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,9.1,Average
Barbell Hip Thrust,"Sit on the ground with your upper back against a bench and a barbell across your hips.
Roll the barbell towards you until it is positioned directly above your hips.
Plant your feet flat on the ground, shoulder-width apart.
Drive through your heels and thrust your hips upwards until your body forms a straight line from your shoulders to your knees.
Squeeze your glutes at the top of the movement, then lower your hips back down.
Repeat for the desired number of repetitions.",,,https://www.bodybuilding.com/exercises/muscle/glutes,Glutes,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.1,Average
Forward lunge,"Stand tall with your feet hip-width apart, holding a barbell across your upper back.
Take a large step forward with one foot and lower your body until both knees are bent at 90-degree angles.
Keep your front knee aligned with your ankle and your back knee hovering just above the ground.
Push through your front heel to return to the starting position.
Repeat on the opposite leg, alternating sides for the desired number of repetitions.",,,https://www.bodybuilding.com/exercises/muscle/quadriceps,Quadriceps,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,9,Average
Barbell Bench Press - Medium Grip,"Lie flat on a bench with your feet planted firmly on the ground.
Grip the barbell with your hands slightly wider than shoulder-width apart.
Unrack the barbell and lower it towards your chest, keeping your elbows tucked close to your body.
Press the barbell back up to the starting position, fully extending your arms.
Repeat for the desired number of repetitions, maintaining control throughout the movement.",,,https://www.bodybuilding.com/exercises/muscle/chest,Chest,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9,Average
Chest dip,"Step 1: Grip parallel bars with your palms facing inward and arms fully extended.
Step 2: Lower your body by bending your elbows until your shoulders are below your elbows.
Step 3: Push yourself back up by straightening your arms, returning to the starting position.
Tip: Keep your body upright and avoid leaning forward to emphasize chest activation.",,,https://www.bodybuilding.com/exercises/muscle/chest,Chest,https://www.bodybuilding.com/exercises/equipment/other,Other,9,Average
Seated dumbbell shoulder press,"Step 1: Sit on a bench with back support, holding dumbbells at shoulder height with palms facing forward.
Step 2: Press the dumbbells overhead until your arms are fully extended, but not locked.
Step 3: Lower the dumbbells back down to shoulder height, maintaining control.
Tip: Keep your core engaged and avoid arching your back for stability.",https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50e-seated-dumbbell-shoulder-press-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50e-seated-dumbbell-shoulder-press-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9,Average
Barbell Curl,"Step 1: Stand upright with a barbell held at arm's length, palms facing forward and hands shoulder-width apart.
Step 2: Curl the barbell upwards by bending your elbows, keeping your upper arms stationary.
Step 3: Squeeze your biceps at the top of the movement, then slowly lower the barbell back down.
Tip: Avoid swinging your body to generate momentum; focus on controlled movements.",,,https://www.bodybuilding.com/exercises/muscle/biceps,Biceps,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9,Average
EZ-Bar Skullcrusher,"Step 1: Lie on a flat bench with an EZ-bar held straight above your forehead, arms fully extended.
Step 2: Bend your elbows to lower the barbell towards your forehead, keeping your upper arms stationary.
Step 3: Extend your elbows to raise the barbell back to the starting position, fully extending your arms.
Tip: Use a controlled movement and avoid locking your elbows at the top of the exercise.",https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-94s-ez-bar-skullcrusher-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-94s-ez-bar-skullcrusher-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/triceps,Triceps,https://www.bodybuilding.com/exercises/equipment/ez-curl-bar,E-Z Curl Bar,9,Average
One-Arm Dumbbell Row,"Step 1: Stand beside a bench with one knee and hand resting on it, holding a dumbbell in the opposite hand.
Step 2: Pull the dumbbell upwards towards your hip by bending your elbow, keeping your back flat.
Step 3: Lower the dumbbell back down until your arm is fully extended, then repeat for the desired reps.
Tip: Keep your chest up and shoulder blades pulled back throughout the movement.",https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-13e-single-arm-bench-dumbbell-row-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-13e-single-arm-bench-dumbbell-row-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/middle-back,Middle Back,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9,Average
Alternating standing shoulder press,"Step 1: Stand with feet shoulder-width apart, holding dumbbells at shoulder height with palms facing forward.
Step 2: Press one dumbbell overhead until your arm is fully extended, while keeping the other dumbbell at shoulder height.
Step 3: Lower the first dumbbell back down to shoulder height as you press the other dumbbell overhead.
Tip: Keep your core engaged for stability and avoid leaning excessively to one side.",https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-93d-alternating-standing-shoulder-press-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-93d-alternating-standing-shoulder-press-m3-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9,Average
Concentration curl,"Step 1: Sit on a bench with your legs spread apart, holding a dumbbell in one hand, and your elbow resting on your thigh.
Step 2: Curl the dumbbell upwards towards your shoulder while keeping your upper arm stationary.
Step 3: Lower the dumbbell back down to the starting position, then repeat for the desired reps.
Tip: Focus on squeezing your biceps at the top of the movement for maximum contraction.",https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-8e-concentration-curl-m1-square-600x600.jpg,,https://www.bodybuilding.com/exercises/muscle/biceps,Biceps,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9,Average
Decline Crunch,"Step 1: Lie on a decline bench with your feet secured, hands behind your head, and elbows pointing outwards.
Step 2: Engage your core muscles and lift your upper body towards your knees, keeping your lower back pressed against the bench.
Step 3: Lower your upper body back down with control, feeling the stretch in your abdominals.
Tip: Exhale as you crunch up and avoid pulling on your neck with your hands.",,,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,9,Average
Decline Dumbbell Flyes,"Step 1: Lie on a decline bench with a dumbbell in each hand, arms extended above your chest, palms facing inward.
Step 2: Lower the dumbbells out to the sides in a wide arc until you feel a stretch in your chest.
Step 3: Squeeze your chest muscles to bring the dumbbells back to the starting position, maintaining a slight bend in your elbows.
Tip: Focus on a slow and controlled movement, avoiding excessive swinging of the weights.",https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-31n-decline-dumbbell-chest-fly-m2-square-600x600.jpg,,https://www.bodybuilding.com/exercises/muscle/chest,Chest,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9,Average
Single-arm incline rear delt raise,"Step 1: Sit on an incline bench set to a low angle, holding a dumbbell in one hand with an overhand grip.
Step 2: Lean forward slightly and allow the dumbbell to hang straight down towards the floor.
Step 3: Keeping your arm slightly bent, raise the dumbbell out to the side until your arm is parallel to the floor.
Step 4: Slowly lower the dumbbell back to the starting position and repeat for the desired number of repetitions.
Tip: Focus on using your rear deltoid muscle to lift the weight, and avoid using momentum or swinging to complete the exercise.",,,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9,Average
Alternating dumbbell front raise,"a. Stand with your feet shoulder-width apart, holding a dumbbell in each hand by your sides.
b. Keeping your arms straight, lift one dumbbell directly in front of you until it's at shoulder height.
c. Lower the dumbbell back down slowly.
d. Repeat the movement with the opposite arm.
e. Continue alternating arms for the desired number of repetitions.",,,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9,Average
Hanging toes-to-bar,"a. Hang from a pull-up bar with an overhand grip, hands slightly wider than shoulder-width apart.
b. Engage your core and lift your toes towards the bar by flexing your hips and bending your knees.
c. Aim to touch your toes to the bar or get as close as possible.
d. Slowly lower your legs back down to the starting position.
e. Repeat for the desired number of repetitions.",,,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,9,Average
Narrow-stance squat,"a. Stand with your feet hip-width apart, toes pointing forward or slightly turned out.
b. Bring your feet closer together so they're about shoulder-width apart or narrower.
c. Keeping your chest up and core engaged, lower your body down by bending your knees.
d. Descend until your thighs are parallel to the ground or as low as you can comfortably go.
e. Push through your heels to return to the starting position.
f. Repeat for the desired number of repetitions.",,,https://www.bodybuilding.com/exercises/muscle/quadriceps,Quadriceps,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9,Average
Kneeling cable oblique crunch,"a. Attach a rope handle to a high cable pulley and kneel down facing away from the machine.
b. Hold the handle with both hands and position it next to your head, elbows bent.
c. Keeping your hips stationary, contract your obliques to bring your elbows down towards your hips.
d. Pause briefly at the bottom of the movement, then slowly return to the starting position.
e. Repeat for the desired number of repetitions, then switch sides.",,,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/cable,Cable,9,Average
Reverse Grip Triceps Pushdown,"a. Attach a straight or angled bar to a high cable pulley.
b. Stand facing the cable machine with your feet shoulder-width apart and grab the bar with an underhand grip, hands close together.
c. Keep your elbows close to your sides and extend your arms downwards, pushing the bar towards the ground.
d. Pause briefly when your arms are fully extended, then slowly return to the starting position.
e. Repeat for the desired number of repetitions.",https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-19c-reverse-grip-cable-straight-bar-push-down-m2-square-600x600.jpg,,https://www.bodybuilding.com/exercises/muscle/triceps,Triceps,https://www.bodybuilding.com/exercises/equipment/cable,Cable,9,Average
Bear crawl sled drag,"a. Attach a harness to a sled loaded with weight plates.
b. Get into a bear crawl position with your hands on the ground directly underneath your shoulders and your knees bent at 90 degrees.
c. Engage your core and start walking forward, pulling the sled behind you with your arms.
d. Keep your back flat and your hips low as you move.
e. Continue crawling forward for the desired distance or time.",,,https://www.bodybuilding.com/exercises/muscle/quadriceps,Quadriceps,https://www.bodybuilding.com/exercises/equipment/other,Other,9,Average
Rocky Pull-Ups/Pulldowns,"a. Sit at a lat pulldown machine with a wide grip on the bar.
b. Pull the bar down towards your chest, retracting your shoulder blades.
c. As you pull down, lean your torso back slightly and arch your back.
d. Return the bar to the starting position under control.
e. Repeat for the desired number of repetitions.",,,https://www.bodybuilding.com/exercises/muscle/lats,Lats,https://www.bodybuilding.com/exercises/equipment/other,Other,9,Average
Snatch-Grip Behind-The-Neck Overhead Press,"a. Stand with your feet shoulder-width apart and grip a barbell with a wide snatch grip, palms facing away from you.
b. Lift the barbell overhead, bringing it behind your neck.
c. Press the barbell upwards until your arms are fully extended.
d. Lower the barbell back down to the starting position behind your neck.
e. Repeat for the desired number of repetitions.",https://www.bodybuilding.com/exercises/exerciseImages/sequences/4571/Male/m/4571_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/4571/Male/m/4571_2.jpg,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9,Average
Box Squat with Bands,"a. Set up a box or bench behind you in the squat rack and attach resistance bands to the barbell.
b. Sit back onto the box with the bands stretched, keeping your feet shoulder-width apart.
c. Maintain tension in the bands as you explosively stand up, driving through your heels.
d. Lock out your hips at the top of the movement, then sit back down onto the box.
e. Repeat for the desired number of repetitions.",https://www.bodybuilding.com/exercises/exerciseImages/sequences/666/Male/m/666_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/666/Male/m/666_2.jpg,https://www.bodybuilding.com/exercises/muscle/quadriceps,Quadriceps,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9,Average
Flexor Incline Dumbbell Curls,"a. Set an incline bench to a low angle.
b. Sit on the bench with a dumbbell in each hand, palms facing up.
c. Let your arms hang straight down towards the floor.
d. Curl the dumbbells towards your shoulders, keeping your elbows stationary.
e. Squeeze your biceps at the top of the movement, then slowly lower the dumbbells back down.
f. Repeat for the desired number of repetitions.",https://www.bodybuilding.com/exercises/exerciseImages/sequences/285/Male/m/285_1.jpg,,https://www.bodybuilding.com/exercises/muscle/biceps,Biceps,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9,Average
Seated One-Arm Dumbbell Palms-Up Wrist Curl,"Sit on a bench with a dumbbell in one hand, palm facing up, and your forearm resting on your thigh.
Lower the dumbbell towards the floor by curling your wrist downwards.
Slowly curl the weight back up towards your body by flexing your wrist, feeling the contraction in your forearm.
Repeat for the desired number of repetitions, then switch sides.",https://www.bodybuilding.com/exercises/exerciseImages/sequences/386/Male/m/386_1.jpg,,https://www.bodybuilding.com/exercises/muscle/forearms,Forearms,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9,Average
Thigh adductor,"Sit on the thigh adductor machine with your back against the support pad and your legs straddling the padded arms.
Adjust the weight and select the appropriate resistance.
Squeeze your thighs together to bring the padded arms towards each other.
Slowly return to the starting position, allowing the machine to open your legs back to the starting position.
Repeat for the desired number of repetitions.",,,https://www.bodybuilding.com/exercises/muscle/adductors,Adductors,https://www.bodybuilding.com/exercises/equipment/machine,Machine,9,Average
Machine Bicep Curl,"Sit on the machine bench with your back against the pad and grab the handles with an underhand grip.
Keep your upper arms stationary and curl the handles towards your shoulders, squeezing your biceps at the top of the movement.
Slowly lower the handles back to the starting position under control.
Repeat for the desired number of repetitions.",https://www.bodybuilding.com/exercises/exerciseImages/sequences/899/Male/m/899_2.jpg,,https://www.bodybuilding.com/exercises/muscle/biceps,Biceps,https://www.bodybuilding.com/exercises/equipment/machine,Machine,9,Average
Seated Palms-Down Barbell Wrist Curl,"Sit on a bench with a barbell in your hands, palms facing down, and your forearms resting on your thighs.
Lower the barbell towards the floor by curling your wrists downwards.
Slowly curl the weight back up towards your body by flexing your wrists, feeling the contraction in your forearms.
Repeat for the desired number of repetitions.",https://www.bodybuilding.com/exercises/exerciseImages/sequences/389/Male/m/389_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/389/Male/m/389_2.jpg,https://www.bodybuilding.com/exercises/muscle/forearms,Forearms,https://www.bodybuilding.com/exercises/finder,,9,Average
Single-arm incline rear delt raise,"Sit on an incline bench set to a low angle, holding a dumbbell in one hand.
Lean forward slightly with your chest against the bench and your arm hanging down towards the floor.
Raise the dumbbell out to the side, keeping your arm straight, until it reaches shoulder height.
Lower the dumbbell back down under control.
Repeat for the desired number of repetitions, then switch sides.",https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-14n-single-arm-incline-rear-delt-raise-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-14n-single-arm-incline-rear-delt-raise-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9,Average
Alternating dumbbell front raise,"Stand with a dumbbell in each hand, palms facing your thighs.
Keeping your arms straight, raise one dumbbell directly in front of you until it reaches shoulder height.
Lower the dumbbell back down slowly while simultaneously raising the other dumbbell.
Continue alternating between arms for the desired number of repetitions.",https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-14d-alternating-dumbbell-front-raise-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-14d-alternating-dumbbell-front-raise-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9,Average
Hanging toes-to-bar,"Hang from a pull-up bar with an overhand grip, hands shoulder-width apart.
Engage your core and lift your legs, bending at the waist, until your toes touch the bar.
Slowly lower your legs back down to the starting position under control.
Repeat for the desired number of repetitions.",https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-128c-hanging-toes-to-bar-m1-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-128c-hanging-toes-to-bar-m2-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,9,Average
Narrow-stance squat,"Stand with your feet shoulder-width apart or slightly narrower, toes pointed slightly outward.
Hold a barbell across your upper back and shoulders.
Keeping your chest up and core engaged, squat down by bending your knees and pushing your hips back.
Lower yourself until your thighs are parallel to the ground or as low as you can comfortably go.
Push through your heels to return to the starting position, squeezing your glutes at the top.
Repeat for the desired number of repetitions.",https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-30a-narrow-stance-squat-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-30a-narrow-stance-squat-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/quadriceps,Quadriceps,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9,Average
Kneeling cable oblique crunch,"Kneel down facing a cable machine with a rope attachment at the top pulley.
Grasp the rope with both hands and hold it beside your head.
Crunch your torso down towards your hip, focusing on using your obliques to perform the movement.
Slowly return to the starting position and repeat for the desired number of repetitions on each side.",https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-36c-kneeling-cable-oblique-crunch-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-36c-kneeling-cable-oblique-crunch-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/cable,Cable,9,Average
Reverse Grip Triceps Pushdown,"Attach a straight bar to the high pulley of a cable machine and grasp it with an underhand grip.
Stand upright with your feet shoulder-width apart and your elbows tucked in at your sides.
Push the bar down towards the floor by extending your elbows, focusing on contracting your triceps.
Pause briefly at the bottom of the movement, then slowly return to the starting position.
Repeat for the desired number of repetitions.",https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-19c-reverse-grip-cable-straight-bar-push-down-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-19c-reverse-grip-cable-straight-bar-push-down-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/triceps,Triceps,https://www.bodybuilding.com/exercises/equipment/cable,Cable,9,Average
Bear crawl sled drag,"a. Attach a sled to a harness around your waist.
b. Get into a bear crawl position with your hands on the ground and knees slightly bent.
c. Start walking forward while dragging the sled behind you using your arms and legs.
d. Maintain a straight back and engage your core throughout the movement.
e. Continue for the desired distance or time.",https://www.bodybuilding.com/images/2020/xdb/cropped/2020-xdb-153s-bear-crawl-sled-drag-m1-crop-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/2020-xdb-153s-bear-crawl-sled-drag-m4-crop-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/quadriceps,Quadriceps,https://www.bodybuilding.com/exercises/equipment/other,Other,9,Average
